position baseline_total baseline_best total the_best top_95 top_90 top_80
229 0.5236285327 0.0 1.0424908299999998 0.0 3.0000000000000004e-07 0.0667885 0.9332111999999999
230 0.5235905675999999 0.0 1.0426912869 0.0 3.0000000000000004e-07 0.06856809999999997 0.9314315999999999
231 0.5233511741 0.0 1.0428908282999998 0.0 3.0000000000000004e-07 0.07036629999999999 0.9296334000000002
232 0.5236210450000001 0.0 1.0430913512000002 0.0 3.0000000000000004e-07 0.07223420000000001 0.9277654999999997
233 0.5237703022000001 0.0 1.0432920755000001 0.0 3.0000000000000004e-07 0.07410839999999999 0.9258913
234 0.5238714696999999 0.0 1.0434931182000005 0.0 3.0000000000000004e-07 0.07604169999999995 0.923958
235 0.5239778905 0.0 1.0436930461999996 0.0 4.0000000000000003e-07 0.07803920000000003 0.9219604000000003
236 0.5241240035000002 0.0 1.0438920509000003 0.0 4.0000000000000003e-07 0.08004839999999999 0.9199511999999999
237 0.5240650359000001 0.0 1.0440914466 0.0 4.0000000000000003e-07 0.0820959 0.9179037000000005
238 0.5243772016 0.0 1.0442925413 0.0 4.0000000000000003e-07 0.08417670000000001 0.9158229
239 0.5244462698999999 0.0 1.044492915 0.0 4.0000000000000003e-07 0.08632569999999996 0.9136739000000001
240 0.5242812194 0.0 1.0446941414000004 0.0 4.0000000000000003e-07 0.08856299999999993 0.9114365999999996
241 0.5247793121000001 0.0 1.0448939321 0.0 4.0000000000000003e-07 0.09082249999999997 0.9091771
242 0.5247216378999999 0.0 1.0450930416999997 0.0 4.0000000000000003e-07 0.09307829999999997 0.9069212999999999
243 0.5246587408 0.0 1.0452926815999999 0.0 5e-07 0.09536920000000006 0.9046302999999999
244 0.5248492474000004 0.0 1.0454923220999996 0.0 5e-07 0.09772489999999999 0.9022745999999994
245 0.5248839986000001 0.0 1.0456915697 0.0 5e-07 0.10011229999999999 0.8998871999999999
246 0.5250725841 0.0 1.0458907702000002 0.0 6e-07 0.10258550000000001 0.8974139000000004
247 0.5250625666000002 0.0 1.0460914820999998 0.0 7.000000000000001e-07 0.1050638 0.8949355
248 0.5253103864999998 0.0 1.0462916760000005 0.0 8.000000000000001e-07 0.10755340000000004 0.8924458000000002
249 0.5254490480999998 0.0 1.0464910255 0.0 8.000000000000001e-07 0.11010660000000005 0.8898926000000005
250 0.5254018431 0.0 1.0466905778000004 0.0 8.000000000000001e-07 0.11274569999999999 0.8872535000000003
251 0.5256041441999999 0.0 1.0468902679999998 0.0 8.000000000000001e-07 0.11545229999999998 0.8845469
